"plot";"subplot";"Plant";"indv";"seeds";"fruits";"x_coor2";"y_coor2";"seed.indv";"Bee";"Beetle";"Butterfly";"Fly";"<NA>";"distance";"n_neighbors";"n_neighbors_total";"distance_total";"n_neighbors_inter";"n_neighbors_intra"
1;"B2";"LEMA";39;80,5;32;"2";"2";2576;0;10;0;0;0;"a";867;867;"a";867;1869
1;"B2";"BEMA";8;4;57;"2";"2";228;0;0;0;0;0;"a";2485;2485;"a";2485;251
1;"B2";"CETE";2;111;27;"2";"2";2997;0;0;0;0;0;"a";2609;2609;"a";2609;127
1;"B2";"PUPA";1;23;5;"2";"2";115;0;0;0;0;0;"a";2722;2722;"a";2722;14
1;"B2";"SOAS";2;55;23;"2";"2";1265;0;0;0;0;0;"a";2711;2711;"a";2711;25
1;"B3";"BEMA";5;4;93;"2";"3,5";372;0;0;0;0;0;"a";2485;2485;"a";2485;251
1;"B3";"CETE";4;111;40;"2";"3,5";4440;0;0;0;0;0;"a";2609;2609;"a";2609;127
1;"B3";"CHFU";1;32;3,5;"2";"3,5";112;0;0;0;0;0;"a";2704;2704;"a";2704;32
1;"B3";"SOAS";3;55;39;"2";"3,5";2145;0;0;0;0;0;"a";2711;2711;"a";2711;25
1;"B4";"LEMA";63;65;38;"2";"5";2470;0;12;0;1;0;"a";867;867;"a";867;1869
1;"B4";"CHFU";4;32;19;"2";"5";608;0;0;0;1;0;"a";2704;2704;"a";2704;32
1;"B4";"CETE";1;111;19;"2";"5";2109;0;0;0;0;0;"a";2609;2609;"a";2609;127
1;"B4";"SOAS";2;55;35;"2";"5";1925;0;0;0;0;0;"a";2711;2711;"a";2711;25
1;"B5";"LEMA";43;69,3333333333333;18;"2";"6,5";1248;0;9;0;0;0;"a";867;867;"a";867;1869
1;"B5";"BEMA";6;4;90;"2";"6,5";360;0;0;0;0;0;"a";2485;2485;"a";2485;251
1;"B5";"PUPA";1;23;7;"2";"6,5";161;0;0;0;0;0;"a";2722;2722;"a";2722;14
1;"C2";"PUPA";1;29;7,5;"3,5";"2";217,5;1;0;0;0;0;"a";2722;2722;"a";2722;14
1;"C2";"LEMA";32;89,5;43;"3,5";"2";3848,5;0;8;0;0;0;"a";867;867;"a";867;1869
1;"C2";"BEMA";7;4;16;"3,5";"2";64;0;0;0;0;0;"a";2485;2485;"a";2485;251
1;"C2";"CETE";3;111;13;"3,5";"2";1443;0;0;0;0;0;"a";2609;2609;"a";2609;127
1;"C2";"CHFU";2;32;9;"3,5";"2";288;0;0;0;0;0;"a";2704;2704;"a";2704;32
1;"C2";"SOAS";1;55;3;"3,5";"2";165;0;0;0;0;0;"a";2711;2711;"a";2711;25
1;"C3";"LEMA";51;58;14;"3,5";"3,5";812;0;6;0;0;0;"a";867;867;"a";867;1869
1;"C3";"BEMA";8;4;114;"3,5";"3,5";456;0;0;0;0;0;"a";2485;2485;"a";2485;251
1;"C3";"CETE";1;111;8;"3,5";"3,5";888;0;0;0;0;0;"a";2609;2609;"a";2609;127
1;"C3";"CHFU";4;32;31;"3,5";"3,5";992;0;0;0;0;0;"a";2704;2704;"a";2704;32
1;"C3";"PUPA";1;23;4;"3,5";"3,5";92;0;0;0;0;0;"a";2722;2722;"a";2722;14
1;"C4";"LEMA";64;59;4;"3,5";"5";236;0;5;0;0;0;"a";867;867;"a";867;1869
1;"C4";"BEMA";5;4;215;"3,5";"5";860;0;0;0;0;0;"a";2485;2485;"a";2485;251
1;"C4";"CETE";1;111;5;"3,5";"5";555;0;0;0;0;0;"a";2609;2609;"a";2609;127
1;"C5";"LEMA";80;67;23;"3,5";"6,5";1541;0;1;0;1;0;"a";867;867;"a";867;1869
1;"C5";"BEMA";7;4;6;"3,5";"6,5";24;0;0;0;0;0;"a";2485;2485;"a";2485;251
1;"C5";"CETE";3;111;11;"3,5";"6,5";1221;0;0;0;0;0;"a";2609;2609;"a";2609;127
1;"C5";"CHFU";2;32;4;"3,5";"6,5";128;0;0;0;0;0;"a";2704;2704;"a";2704;32
1;"D2";"LEMA";57;75;12;"5";"2";900;0;9;0;0;0;"a";867;867;"a";867;1869
1;"D2";"BEMA";11;4;18;"5";"2";72;0;0;0;0;0;"a";2485;2485;"a";2485;251
1;"D2";"CETE";1;111;15;"5";"2";1665;0;0;0;0;0;"a";2609;2609;"a";2609;127
1;"D2";"SCLA";2;31;3;"5";"2";93;0;0;0;0;0;"a";2729;2729;"a";2729;7
1;"D3";"LEMA";76;62;4;"5";"3,5";248;0;5;0;0;0;"a";867;867;"a";867;1869
1;"D3";"BEMA";8;4;51;"5";"3,5";204;0;0;0;0;0;"a";2485;2485;"a";2485;251
1;"D3";"CETE";1;111;25;"5";"3,5";2775;0;0;0;0;0;"a";2609;2609;"a";2609;127
1;"D3";"CHFU";2;32;17,5;"5";"3,5";560;0;0;0;0;0;"a";2704;2704;"a";2704;32
1;"D3";"PUPA";1;23;25;"5";"3,5";575;0;0;0;0;0;"a";2722;2722;"a";2722;14
1;"D3";"SCLA";1;31;1;"5";"3,5";31;0;0;0;0;0;"a";2729;2729;"a";2729;7
1;"D4";"LEMA";45;66,5;13;"5";"5";864,5;0;12;1;0;0;"a";867;867;"a";867;1869
1;"D4";"BEMA";5;4;73;"5";"5";292;0;0;0;0;0;"a";2485;2485;"a";2485;251
